Ticker,Product,Exchange,Category,Tier,Ask_Price,Bid_Price,Supply,Demand,Traded,Saturation,Input_Cost,Profit_Ask,Profit_Bid,ROI_Ask,ROI_Bid,Investment_Score,Risk,Viability,Timestamp,Recommendation,Price_Spread
AAR,,AI1,electronic devices,3.0,16000.0,14000.0,318.0,10.0,20.0,0.0,0.0,16000.0,14000.0,0,0,31.8,Medium,Poor,2025-08-28 18:18:54,Avoid,2000.0
ABH,,AI1,construction prefabs,4.0,55000.0,44000.0,424.0,555.0,17.0,0.0,0.0,55000.0,44000.0,0,0,42.400000000000006,Medium,Poor,2025-08-28 18:18:54,Avoid,11000.0
ACS,,AI1,electronic systems,4.0,140000.0,130000.0,25.0,29.0,1.0,0.0,0.0,140000.0,130000.0,0,0,2.5,Low,Poor,2025-08-28 18:18:54,Avoid,10000.0
ADE,,AI1,construction prefabs,4.0,53000.0,49000.0,139.0,750.0,24.0,0.0,0.0,53000.0,49000.0,0,0,13.9,Low,Poor,2025-08-28 18:18:54,Avoid,4000.0
ADR,,AI1,medical equipment,3.0,80000.0,70000.0,20.0,100.0,10.0,0.0,0.0,80000.0,70000.0,0,0,2.0,Medium,Poor,2025-08-28 18:18:54,Avoid,10000.0
ADS,,AI1,electronic systems,4.0,120000.0,110000.0,359.0,25.0,11.0,0.0,0.0,120000.0,110000.0,0,0,35.9,Low,Poor,2025-08-28 18:18:54,Avoid,10000.0
AEF,,AI1,construction parts,2.0,4500.0,3000.0,1182.0,100.0,300.0,0.0,0.0,4500.0,3000.0,0,0,100.0,High,Poor,2025-08-28 18:18:54,Avoid,1500.0
AEN,,AI1,ship engines,5.0,2000000.0,0.0,2.0,0.0,1.0,0.0,0.0,2000000.0,0.0,0,0,0.2,High,Poor,2025-08-28 18:18:54,Avoid,2000000.0
AFP,,AI1,ship engines,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Low,Poor,2025-08-28 18:18:54,Avoid,0.0
AFR,,AI1,ship engines,2.0,40000.0,18000.0,16.0,43.0,16.0,0.0,0.0,40000.0,18000.0,0,0,1.6,High,Poor,2025-08-28 18:18:54,Avoid,22000.0
AGS,,AI1,ship parts,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,Low,Poor,2025-08-28 18:18:54,Avoid,0.0
AHP,,AI1,ship parts,3.0,9000.0,8000.0,2473.0,476.0,545.0,0.0,0.0,9000.0,8000.0,0,0,100.0,Medium,Poor,2025-08-28 18:18:54,Avoid,1000.0
AIR,,AI1,construction parts,4.0,201000.0,200000.0,32.0,100.0,28.0,0.0,0.0,201000.0,200000.0,0,0,3.2,Low,Poor,2025-08-28 18:18:54,Avoid,1000.0
AL,,AI1,metals,4.0,1170.0,1080.0,51125.0,24426.0,70.0,0.0,0.0,1170.0,1080.0,0,0,100.0,Low,Poor,2025-08-28 18:18:54,Avoid,90.0
ALE,,AI1,consumables (luxury),2.0,1480.0,1350.0,12918.0,9623.0,1100.0,0.0,0.0,1480.0,1350.0,0,0,100.0,Low,Poor,2025-08-28 18:18:54,Avoid,130.0
ALG,,AI1,agricultural products,2.0,350.0,321.0,19837.0,5340.0,2109.0,0.0,0.0,350.0,321.0,0,0,100.0,Low,Poor,2025-08-28 18:18:54,Avoid,29.0
