Ticker,Product,Exchange,Category,Tier,Ask_Price,Bid_Price,Supply,Demand,Traded,Saturation,Input_Cost,Profit_Ask,Profit_Bid,ROI_Ask,ROI_Bid,Investment_Score,Risk,Viability,Timestamp,Recommendation,Price_Spread,Input Cost per Unit,Input Cost per Stack,Input Cost per Hour,Recipe,Building
AAR,,AI1,electronic devices,3.0,15000.0,14100.0,902.0,61.0,23.0,200.0,0.0,15000.0,14100.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,17238.52833438163,51715.58500314489,3216.143345966723,ELP:2xAU-1xKV-4xPCB-6xSWF=>3xAAR,ELP
ABH,,AI1,construction prefabs,4.0,49500.0,45100.0,2331.0,1077.0,65.0,200.0,0.0,49500.0,45100.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,49959.60000701994,99919.20001403987,5947.571429407135,PP4:125xNR-2xRBH=>2xABH,PP4
ACS,,AI1,electronic systems,4.0,170000.0,120000.0,29.0,28.0,4.0,103.57,0.0,170000.0,120000.0,0,0,0.0,High,Unknown,2025-11-19 16:32:53,Unknown,0.0,156073.60001203418,156073.60001203418,10838.44444528015,APF:1xFC-1xSAR-10xTHF-1xWAI=>1xACS,APF
ADE,,AI1,construction prefabs,4.0,47700.0,45000.0,1654.0,648.0,4.0,200.0,0.0,47700.0,45000.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,50736.80000601709,101473.60001203418,7046.777778613485,PP4:2xKV-2xLDE=>2xADE,PP4
ADR,,AI1,medical equipment,3.0,90000.0,81000.0,11.0,102.0,1.0,10.78,0.0,90000.0,81000.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,81202.28000200093,81202.28000200093,3759.36481490745,PHF:1xBSC-2xDCM-4xMFK-20xREA=>1xADR,PHF
ADS,,AI1,electronic systems,4.0,119000.0,105000.0,352.0,33.0,5.0,200.0,0.0,119000.0,105000.0,0,0,0.0,Medium,Unknown,2025-11-19 16:32:53,Unknown,0.0,113776.00002005696,113776.00002005696,4740.6666675023735,APF:1xBWS-1xOS-8xTRA=>1xADS,APF
AEF,,AI1,construction parts,2.0,5490.0,4200.0,1447.0,442.0,92.0,200.0,0.0,5490.0,4200.0,0,0,0.0,High,Unknown,2025-11-19 16:32:53,Unknown,0.0,3563.5000004842877,3563.5000004842877,296.95833337369066,PP2:1xNE-50xPG=>1xAEF,PP2
AEN,,AI1,ship engines,5.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,271198.0000401139,271198.0000401139,5649.95833416904,SPF:1xACS-4xAFP-4xANZ-20xFET-1xMFK=>1xAEN,SPF
AFP,,AI1,ship engines,5.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,10662.900008022785,10662.900008022785,1110.718750835707,SPF:10xATP-50xPG-1xSFK=>1xAFP,SPF
AFR,,AI1,ship engines,2.0,27000.0,23000.0,51.0,186.0,2.0,27.42,0.0,27000.0,23000.0,0,0,0.0,Medium,Unknown,2025-11-19 16:32:53,Unknown,0.0,18814.520001333953,18814.520001333953,1306.5638889815245,FS:1xAL-1xZR=>1xAFR,FS
AGS,,AI1,ship parts,4.0,499000.0,250000.0,3.0,2.0,1.0,150.0,0.0,499000.0,250000.0,0,0,0.0,High,Unknown,2025-11-19 16:32:53,Unknown,0.0,469712.0000401139,469712.0000401139,9785.666667502373,SPP:20xAST-100xPG-8xTK=>1xAGS,SPP
AHP,,AI1,ship parts,3.0,9500.0,0.0,1052.0,0.0,100.0,100.0,0.0,9500.0,0.0,0,0,0.0,High,Unknown,2025-11-19 16:32:53,Unknown,0.0,10126.070000500233,40504.28000200093,1875.1981482407837,HWP:8xAL-10xFET-1xHE=>4xAHP,HWP
AIR,,AI1,construction parts,4.0,201000.0,200000.0,127.0,100.0,15.0,127.0,0.0,201000.0,200000.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,197905.0000501424,197905.0000501424,3298.4166675023735,APF:1xBAC-1xFC-1xGV-1xH2O-1xHCP-1xNS-1xPCB-1xSAR-1xWAI=>1xAIR,APF
AL,,AI1,metals,1.0,949.0,920.0,161605.0,56901.0,1453.0,200.0,0.0,949.0,920.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,3035.6000020056963,3035.6000020056963,1264.8333341690402,AML:2xBER=>1xAL-1xBE-1xSIO,AML
AL,,AI1,metals,1.0,949.0,920.0,161605.0,56901.0,1453.0,200.0,0.0,949.0,920.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,986.1333340033889,2958.4000020101666,246.53333350084722,SME:6xALO-1xC-1xO=>3xAL,SME
AL,,AI1,metals,1.0,949.0,920.0,161605.0,56901.0,1453.0,200.0,0.0,949.0,920.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,835.075000526756,3340.300002107024,231.96527792409887,SME:6xALO-1xC-1xFLX-1xO=>4xAL,SME
ALE,,AI1,consumables (luxury),2.0,1340.0,1240.0,16254.0,11207.0,150.0,145.03,0.0,1340.0,1240.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,1169.8146669038135,7018.888001422882,456.9588542593022,FER:1xAMM-3xDW-2xGRN-1xHOP=>6xALE,FER
ALG,,AI1,agricultural products,2.0,290.0,260.0,35897.0,7768.0,1568.0,200.0,0.0,290.0,260.0,0,0,0.0,Medium,Unknown,2025-11-19 16:32:53,Unknown,0.0,176.50416670298827,2118.050000435859,196.11574078109805,HYF:16xH2O-2xNS=>12xALG,HYF
ALO,,AI1,ores,0.0,178.0,141.0,95652.0,42767.0,157.0,200.0,0.0,178.0,141.0,0,0,0.0,High,Unknown,2025-11-19 16:32:53,Unknown,0.0,0.0,0.0,0.0,N/A,N/A
ALR,,AI1,alloys,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,0.0,0.0,0.0,N/A,N/A
AMM,,AI1,gases,0.0,160.0,115.0,25634.0,11042.0,750.0,200.0,0.0,160.0,115.0,0,0,0.0,High,Unknown,2025-11-19 16:32:53,Unknown,0.0,0.0,0.0,0.0,N/A,N/A
ANZ,,AI1,ship engines,5.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,75463.20001403987,75463.20001403987,4491.85714369285,SPF:1xCHA-20xFET-4xMFK=>1xANZ,SPF
APT,,AI1,ship shields,4.0,16500.0,12200.0,731.0,200.0,144.0,200.0,0.0,16500.0,12200.0,0,0,0.0,High,Unknown,2025-11-19 16:32:53,Unknown,0.0,1977.3333341690402,23728.00001002848,1977.3333341690402,SPP:5xATP-30xTHF=>12xAPT,SPP
AR,,AI1,gases,0.0,180.0,140.0,46218.0,42332.0,6396.0,109.18,0.0,180.0,140.0,0,0,0.0,High,Unknown,2025-11-19 16:32:53,Unknown,0.0,0.0,0.0,0.0,N/A,N/A
ARP,,AI1,ship shields,4.0,10000.0,0.0,121.0,0.0,43.0,100.0,0.0,10000.0,0.0,0,0,0.0,High,Unknown,2025-11-19 16:32:53,Unknown,0.0,10122.800001002848,101228.00001002848,8435.666667502373,SPP:5xLST-2xTK=>10xARP,SPP
ASE,,AI1,construction prefabs,4.0,40900.0,38900.0,689.0,1152.0,6.0,59.81,0.0,40900.0,38900.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,43910.80001103133,43910.80001103133,3326.5757584114644,PP4:1xRSE-2xTI=>1xASE,PP4
AST,,AI1,alloys,4.0,3200.0,2520.0,1909.0,3857.0,236.0,49.49,0.0,3200.0,2520.0,0,0,0.0,High,Unknown,2025-11-19 16:32:53,Unknown,0.0,4442.850002005696,17771.400008022785,1851.187500835707,ASM:1xAL-3xTI=>4xAST,ASM
ATA,,AI1,construction prefabs,4.0,28500.0,25600.0,782.0,235.0,43.0,200.0,0.0,28500.0,25600.0,0,0,0.0,Medium,Unknown,2025-11-19 16:32:53,Unknown,0.0,28350.80001103133,28350.80001103133,2147.7878796235855,PP4:1xNG-1xRTA=>1xATA,PP4
ATP,,AI1,ship parts,3.0,0.0,9000.0,0.0,196.0,0.0,0.0,0.0,0.0,9000.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,25345.650000277907,50691.30000055581,8448.550000092635,HWP:2xBOS-2xCTF-1xHE=>2xATP,HWP
AU,,AI1,metals,1.0,1690.0,1530.0,8977.0,478.0,38.0,200.0,0.0,1690.0,1530.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,1453.0250002179296,2906.050000435859,269.078703744061,SME:3xAUO-1xC=>2xAU,SME
AUO,,AI1,ores,0.0,400.0,320.0,24290.0,7281.0,700.0,200.0,0.0,400.0,320.0,0,0,0.0,Medium,Unknown,2025-11-19 16:32:53,Unknown,0.0,0.0,0.0,0.0,N/A,N/A
AWF,,AI1,electronic devices,3.0,5800.0,5500.0,243.0,50.0,13.0,200.0,0.0,5800.0,5500.0,0,0,0.0,Low,Unknown,2025-11-19 16:32:53,Unknown,0.0,4898.715000228733,24493.57500114366,1570.1009616117735,ELP:10xBAC-1xMAG-10xPE=>5xAWF,ELP
