Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
AAR,,,16000,48,16000,877,1,15100,161,14500,110,14500,606,,,0,20000,,,0,,,0,14000,194,16000,1494,9,14000,127,6765.330078125,3,16200,3,,,0,14800,70,14800,70,,,0
ABH,,,49232.140625,200,49800,2124,50,47000,917,46000,64,49000,220,297,46000,301,46000,,,0,,,0,42300,140,47900,739,62,42300,909,24074.48046875,5,60000,5,,,0,49827.0703125,39,54800,156,37,50000,542
ACS,,,130000,4,170000,29,10,130000,38,140000,4,150000,5,1,140000,3,74556.703125,,,0,,,0,120000,9,130000,16,2,120000,2,74556.703125,1,124000,1,,,0,180000,5,140000,5,,,0
ADE,,,47553.3515625,16,47800,1619,156,45300,442,41100,5,44900,191,5,41100,96,43000,,,0,,,0,39000,30,44800,724,142,39000,554,21210.509765625,7,60000,7,,,0,44700,26,44500,861,98,40600,315
ADR,70000,,81000,1,90000,11,2,81000,102,100000,1,150000,1,100,70000,100,60000,,,0,,,0,82000,34,120000,44,7,82000,127,29108.779296875,,,0,,,0,70000,25,100000,30,100,70000,100
ADS,,,119000,5,119000,352,3,90100,27,120000,84,120000,105,,,0,250000,,,0,,,0,113000,1,118000,383,2,113000,14,55055.921875,1,128000,1,,,0,120000,71,120000,236,3,60000,13
AEF,,,5700,7,5700,1174,172,4300,739,5000,874,5000,1874,35,4700,925,4000,,,0,,,0,5760,45,5760,1398,174,4230,936,4500,197,4500,197,,,0,5800,240,5800,719,100,3100,300
AEN,,,2500000,1,2600000,1,,,0,1000000,,,0,,,0,974291.3125,,,0,1,1000000,1,2500000,,,0,1,2500000,5,974291.3125,,,0,,,0,974291.3125,,,0,,,0
AFP,,,134241.84375,,,0,,,0,134241.84375,,,0,,,0,134241.84375,,,0,,,0,30000,,,0,,,0,134241.84375,,,0,,,0,134241.84375,,,0,,,0
AFR,,,20000,8,28000,57,50,20000,99,19500,,,0,20,16000,20,7797.1201171875,,,0,,,0,23000,5,23000,46,49,18000,49,7797.1201171875,,,0,,,0,20000,,,0,,,0
AGS,,,499385,1,499000,2,2,250000,2,499000,1,598000,2,,,0,500000,,,0,,,0,450000,1,480000,9,,,0,219398.5,,,0,,,0,799000,1,599000,3,,,0
AHP,,,9500,800,9000,2052,,,0,11900,397,13000,397,,,0,5547.2099609375,,,0,,,0,10000,1,10000,2487,100,8500,300,5547.2099609375,,,0,,,0,14500,37,12900,237,1,10000,21
AIR,200000,,200000,15,201000,127,100,200000,123,200000,10,201000,11,100,200000,100,90993.921875,,,0,,,0,200000,4,201000,14,100,200000,100,90993.921875,,,0,,,0,200000,10,201000,14,100,200000,112
AL,,,830,51,925,115744,200,831,18771,1050,1694,1050,46386,30,925,6768,950,100,1200,100,12,950,15,989,354,989,68239,16,863,39651,1300,30,1200,150,,,0,945,120,945,34505,560,864,5214
ALE,,,1290,61,1290,17691,15,1280,9053,1200,769,1200,19906,200,850,1000,1300,100,1500,100,,,0,1280,599,1280,20959,40,1220,6983,1380,44,1380,1117,20,1000,20,1100,327,1260,15232,820,1100,3875
ALG,,,251,4847,270,52111,300,252,10360,310,1817,310,9774,8206,250,10884,250,,,0,,,0,250,4409,319,62541,9936,250,10846,100,,,0,1000,200,1000,292.9800109863281,540,300,12328,886,260,29692
ALO,42,,141,209,164,102628,8514,141,32895,199,326,200,34853,48,180,12183,199,325,199,2113,,,0,183,872,200,110875,3034,183,44014,200,916,240,17144,,,0,130,6000,180,33237,405,130,2653
ALR,,,1343.8399658203125,,,0,,,0,1343.8399658203125,,,0,,,0,1343.8399658203125,,,0,,,0,1343.8399658203125,,,0,,,0,1343.8399658203125,,,0,,,0,1343.8399658203125,,,0,,,0
AMM,61,,170,2290,170,24645,264,115,8933,110,500,109,119501,597,90.19999694824219,947,100,541,100,2084,50,95,50,150,19813,150,114217,100,111,85588,90,500,100,3773,1914,90,1914,120,6900,120,36098,197,105,22720
ANZ,,,70600.546875,,,0,,,0,70600.546875,,,0,,,0,70600.546875,,,0,,,0,70600.546875,,,0,,,0,70600.546875,,,0,,,0,70600.546875,,,0,,,0
APT,,,16500,98,17000,587,200,12200,200,20000,100,20000,143,,,0,6935.35009765625,,,0,,,0,15000,,,0,,,0,6935.35009765625,,,0,,,0,50000,100,20000,101,,,0
AR,,,180,3025,180,42247,820,130,35742,154,610,154,136000,300,132,12600,200,260,200,260,1000,150,1000,223,307,223,29218,1829,150,12929,400,200,270,200,,,0,251.7100067138672,1224,252,10321,50,175,3687
ARP,,,10000,43,10000,121,,,0,8500,,,0,,,0,4639.3798828125,,,0,,,0,8500,98,8500,101,,,0,4639.3798828125,,,0,,,0,4639.3798828125,,,0,,,0
ASE,,,41305.578125,52,41500,543,30,40000,834,39100,46,43000,218,29,39100,338,42000,,,0,10,33000,10,35100,66,38000,865,87,35100,762,19526.619140625,10,48000,10,,,0,43800,18,42000,528,42,33100,138
AST,,,3200,292,3100,1965,8,2580,3942,3750,40,3700,128,836,2010,937,1626.449951171875,100,10000,100,,,0,4300,160,3900,9481,1000,2000,1002,2000,,,0,,,0,2500,16,4900,32,936,2500,936
ATA,,,25700,4,28400,786,6,25700,184,24100,47,26500,234,47,24100,135,1600,,,0,,,0,23000,132,26000,897,113,23000,312,15767.91015625,10,38000,10,,,0,28800,44,28000,538,6,25000,86
ATP,,,9000,,,0,196,9000,196,30000,,,0,,,0,12361,,,0,,,0,35000,,,0,,,0,12361,,,0,,,0,25000,3,25000,3,,,0
AU,,,1800,925,1800,9041,39,1660,1200,1510,10,1590,1243,728,1510,1503,950,,,0,,,0,1200,25,1400,25174,1497,1200,3326,998,20,998,71,,,0,1240,3,1500,3993,967,1230,1124
AUO,137,,450,1818,450,24624,500,351,10081,153,652,325,5111,656,153,1012,225,,,0,900,225,900,310.55999755859375,2129,350,30470,158,310,16366,270,21,280,21,,,0,225,390,225,3135,1917,155,2017
AWF,,,5500,13,5800,243,50,5500,50,5900,17,5900,105,,,0,2940.56005859375,,,0,,,0,5000,27,6000,441,28,5000,128,2940.56005859375,5,5950,5,,,0,6000,3,6000,13,,,0
AWH,,,16600,200,17500,1039,100,16500,100,12500,200,24000,225,,,0,8377.23046875,,,0,,,0,19000,97,19000,217,37,10000,137,8377.23046875,,,0,,,0,25000,200,24800,229,,,0
BAC,,,2000,26,2000,4718,129,1530,579,2261.639892578125,70,2390,581,,,0,1276.02001953125,,,0,,,0,1900,60,1900,6708,442,1780,1942,1276.02001953125,10,2250,10,,,0,2200,200,2280,5055,50,2000,80
BAI,,,17000,48,18000,48,36,17000,457,17000,5,19000,5,95,17000,97,6790,,,0,,,0,18000,36,18000,56,38,17000,269,6790,,,0,,,0,20000,,,0,100,17000,100
BBH,750,2900,2800,100,2900,100,66,2500,1490,2750,5,2880,145,1,2760,1168,2540,,,0,30,2000,69,2890,100,2900,121,4,2890,4144,2900,24,2900,828,10,1900,59,2900,172,2890,272,7,2800,488
BCO,,,660,760,660,6865,929,625,3429,800,500,799,8448,50,650,17634,660,,,0,,,0,705.8400268554688,640,700,22647,1000,610,13001,640,200,747,200,,,0,620,764,680,9114,500,511,1500
BDE,850,2700,2700,100,2700,103,52,2250,1183,2690,5,2690,138,204,2600,935,2000,100,2800,100,,,0,2690,18,2690,1628,4,2460,2174,2700,488,2700,508,50,2000,50,2700,9,2680,233,40,2100,1475
BE,,,1450,480,1450,25472,196,1300,1009,1480,30,1650,5023,964,1480,1486,2900,42,2900,142,,,0,1600,290,1600,42061,927,1510,4729,1700,18,1700,18,,,0,1740,730,1650,10846,200,1500,200
BEA,84,,368,427,368,12644,7229,340,8429,301,112,337,15392,68,301,6254,250,,,0,,,0,307,100,320,37154,83,307,11034,250,44,300,595,181,250,1181,300,390,313,34309,9192,300,22489
BER,,,490,5000,488,47994,2500,400,7500,500,325,500,22611,600,400,600,500,,,0,,,0,275,3462,364,66796,1000,300,24065,117.55000305175781,50,551,50,,,0,250,250,380,21526,500,175,500
BFP,,,18000,2,25000,2,,,0,22000,1,25000,1,,,0,20224.419921875,,,0,,,0,24000,,,0,,,0,20224.419921875,,,0,,,0,20224.419921875,2,25000,2,,,0
BFR,,,3510,1,3510,27,20,3500,20,6000,5,5800,26,,,0,2515.219970703125,,,0,,,0,4100,14,4000,26,,,0,2515.219970703125,,,0,,,0,9800,1,10000,1,,,0
BGC,,,649,170,649,19327,100,621,9798,715,1000,714,7501,1500,600,2964,600,36,600,36,,,0,600,100,668,10908,500,575,3000,500,100,720,100,,,0,503.67999267578125,340,725,1342,1000,501,1350
BGO,,,2780,39,2840,12737,215,2550,3754,2759.840087890625,134,2890,378,200,2400,738,2000,,,0,,,0,2240,140,2300,5460,118,2240,4316,2300,50,2500,60,,,0,2390,32,2390,1441,50,2010,350
BGS,,,218000,1,218000,4,1,160000,1,199000,6,199000,6,,,0,87483.4765625,,,0,,,0,200000,1,199000,6,,,0,87483.4765625,,,0,,,0,199000,3,199000,32,1,1,1
BHP,,,4600,25,4250,3545,55,3270,492,3800,45,3800,1793,50,2610,265,1500,,,0,,,0,3740,1156,3730,14193,58,2800,1758,3700,53,3700,138,,,0,4440,19,4440,1225,38,3700,221
BID,,,109000,14,80000,147,,,0,3000,10,100000,20,,,0,24534.48046875,,,0,,,0,100000,6,100000,26,,,0,24534.48046875,,,0,,,0,24534.48046875,10,100000,10,,,0
BL,,,7000,100,8000,442,100,6000,100,7500,100,8000,580,100,7500,300,4500,,,0,,,0,6646.33984375,16,7900,265,56,6000,230,2975.580078125,,,0,,,0,8000,3,8900,53,53,5500,53
BLE,,,2290,5,2200,2563,116,1700,702,2100,356,2100,2759,100,1000,100,1800.1600341796875,,,0,,,0,2400,6,2290,1557,200,1800,400,1800.1600341796875,,,0,,,0,300,330,2300,975,46,300,46
BMF,,,30000,66,30000,386,20,27000,309,32000,4,32000,66,1,28000,1,10932.1796875,,,0,5,22000,5,29000,4,29000,465,10,27000,155,10932.1796875,1,31000,1,,,0,31000,1,31000,108,47,25000,57
BND,,,150,3482,225,4482,,,0,300,200,325,200,,,0,269.8999938964844,,,0,,,0,200,886,225,886,71,200,81,500,,,0,,,0,190,,,0,,,0
BOR,,,317,6310,450,26350,125,317,7720,618,26,618,5135,100,330,150,300,,,0,300,225,300,550,868,550,28480,236,360,2087,75,10,550,10,50,130,250,301,,,0,482,301,782
BOS,,,5340,7,5100,590,60,3270,602,4875,12,4800,40,,,0,3250,,,0,,,0,4990,800,4600,2336,270,3810,1020,1907.8199462890625,,,0,,,0,2910,191,5000,191,,,0
BPT,,,4000,6,17000,6,,,0,8000,,,0,,,0,2205.449951171875,,,0,,,0,8000,145,8000,2134,,,0,2205.449951171875,,,0,,,0,8000,,,0,,,0
BR1,,,940000,1,940000,18,1,750000,6,600000,1,790000,13,1,500000,1,1300000,,,0,,,0,850000,1,879000,9,1,500000,1,252956.640625,,,0,,,0,900000,3,950000,11,1,450000,2
BR2,,,899000,2,899000,8,,,0,949000,2,949000,6,1,900000,1,1300000,,,0,,,0,899500,2,900000,6,,,0,339977.96875,,,0,,,0,900000,2,1600000,4,,,0
BRM,,,170.4499969482422,500,200,8548,117,170,1061,163.1199951171875,1000,370,10949,1000,150,1000,270,3165,200,16907,1000,91,1000,250,2600,250,20676,3704,166,34240,200,87,250,287,,,0,180,173,180,4547,120,172,220
BRO,,,2600,90,3000,2825,96,2060,484,3500,89,3500,89,20,2010,45,829.989990234375,7,2500,7,,,0,1900,63,2350,1978,273,1900,778,829.989990234375,,,0,,,0,2740,169,2740,1689,9,1000,9
BRP,,,5000,72,5990,96,30,4000,30,6000,5,6000,5,,,0,2656.760009765625,,,0,,,0,5500,240,5200,244,,,0,2656.760009765625,,,0,,,0,2656.760009765625,,,0,,,0
BRS,,,600000,,,0,4,200000,4,420000,1,1000000,1,1,200000,3,126513.0703125,,,0,,,0,420000,1,420000,1,1,150000,1,126513.0703125,,,0,,,0,450000,,,0,,,0
BSC,,,48000,20,54000,60,49,48000,145,50000,32,52000,32,20,40000,25,14471.7197265625,,,0,,,0,50000,98,52000,98,,,0,14471.7197265625,1,52000,1,,,0,50000,12,54000,52,,,0
BSE,425,1900,1900,100,1900,115,8,1860,9296,1890,2815,1890,2935,115,1810,1900,1600,,,0,4,1600,130,1900,100,1900,218,151,1840,5915,1900,6,1900,899,50,1500,50,1900,230,1890,330,100,1830,3416
