Ticker,Exchange,Category,Tier,Ask_Price,Bid_Price,Supply,Demand,Traded,Saturation,Input_Cost,Profit_Ask,Profit_Bid,ROI_Ask,ROI_Bid,Investment_Score,Risk,Viability,Input Cost per Unit,Input Cost per Stack,Input Cost per Hour,Recipe,Building
AAR,AI1,electronic devices,3.0,15000.0,14100.0,902.0,61.0,23.0,200.0,0.0,15000.0,14100.0,0,0,0.0,Low,Unknown,16518.21133375265,49554.634001257946,3081.7558458493754,ELP:2xAU-1xKV-4xPCB-6xSWF=>3xAAR,ELP
ABH,AI1,construction prefabs,4.0,49500.0,45100.0,2331.0,1077.0,65.0,200.0,0.0,49500.0,45100.0,0,0,0.0,Low,Unknown,44947.88000210598,89895.76000421196,5350.9380954888065,PP4:125xNR-2xRBH=>2xABH,PP4
ACS,AI1,electronic systems,4.0,170000.0,120000.0,29.0,28.0,4.0,103.57,0.0,170000.0,120000.0,0,0,0.0,High,Unknown,146254.72000240683,146254.72000240683,10156.577777944918,APF:1xFC-1xSAR-10xTHF-1xWAI=>1xACS,APF
ADE,AI1,construction prefabs,4.0,47700.0,45000.0,1654.0,648.0,4.0,200.0,0.0,47700.0,45000.0,0,0,0.0,Low,Unknown,46441.04000180513,92882.08000361026,6450.144444695156,PP4:2xKV-2xLDE=>2xADE,PP4
ADR,AI1,medical equipment,3.0,90000.0,81000.0,11.0,102.0,1.0,10.78,0.0,90000.0,81000.0,0,0,0.0,Low,Unknown,79103.57000050023,79103.57000050023,3662.2023148379735,PHF:1xBSC-2xDCM-4xMFK-20xREA=>1xADR,PHF
ADS,AI1,electronic systems,4.0,119000.0,105000.0,352.0,33.0,5.0,200.0,0.0,119000.0,105000.0,0,0,0.0,Medium,Unknown,97411.20000401139,97411.20000401139,4058.800000167141,APF:1xBWS-1xOS-8xTRA=>1xADS,APF
AEF,AI1,construction parts,2.0,5490.0,4200.0,1447.0,442.0,92.0,200.0,0.0,5490.0,4200.0,0,0,0.0,High,Unknown,2915.125000121072,2915.125000121072,242.92708334342265,PP2:1xNE-50xPG=>1xAEF,PP2
AEN,AI1,ship engines,5.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,0.0,Low,Unknown,250742.00002005696,250742.00002005696,5223.79166708452,SPF:1xACS-4xAFP-4xANZ-20xFET-1xMFK=>1xAEN,SPF
AFP,AI1,ship engines,5.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,0.0,Low,Unknown,6571.700004011393,6571.700004011393,684.5520837511867,SPF:10xATP-50xPG-1xSFK=>1xAFP,SPF
AFR,AI1,ship engines,2.0,27000.0,23000.0,51.0,186.0,2.0,27.42,0.0,27000.0,23000.0,0,0,0.0,Medium,Unknown,17881.760000666975,17881.760000666975,1241.7888889352066,FS:1xAL-1xZR=>1xAFR,FS
